url,last_commit,stars
"https://github.com/facebook/prophet","2026-04-08","20118"
"https://github.com/cerlymarco/tsmoothie","2023-11-23","770"
"https://github.com/alkaline-ml/pmdarima","2025-11-17","1718"
"https://github.com/awslabs/gluon-ts","2026-03-17","5162"
"https://github.com/functime-org/functime","2026-04-12","1166"
"https://github.com/gerrymanoim/exchange_calendars","2026-03-30","615"
"https://github.com/wilsonfreitas/python-bizdays","2026-04-12","89"
"https://github.com/rsheftel/pandas_market_calendars","2026-04-05","960"
"https://github.com/ranaroussi/yfinance","2026-04-12","22894"
"https://github.com/defeat-beta/defeatbeta-api","2026-03-31","565"
"https://github.com/cuemacro/findatapy","2026-04-11","2025"
"https://github.com/hongtaocai/googlefinance","2018-09-23","819"
"https://github.com/lukaszbanasiak/yahoo-finance","2023-12-25","1429"
"https://github.com/pydata/pandas-datareader","2025-04-03","3186"
"https://github.com/davidastephens/pandas-finance","2025-03-07","160"
"https://github.com/innes213/pyhoofinance","2016-10-07","9"
"https://github.com/Karthik005/yfinanceapi","2020-05-26","9"
"https://github.com/slawek87/yql-finance","2015-08-29","16"
"https://github.com/cgoldberg/ystockquote","2017-10-01","537"
"https://github.com/mcdallas/wallstreet","2024-07-06","1629"
"https://github.com/ZachLiuGIS/stock_extractor","2022-12-26","51"
"https://github.com/cttn/Stockex","2023-05-22","33"
"https://github.com/skillachie/finsymbols","2019-11-10","123"
"https://github.com/avelkoski/FRB","2023-07-07","180"
"https://github.com/econdb/inquisitor","2022-06-21","56"
"https://github.com/nickelkr/yfi","2016-02-12","2"
"https://github.com/akarat/exchange","2015-07-07","18"
"https://github.com/jamescnowell/ticks","2016-01-08","16"
"https://github.com/bpsmith/pybbg","2015-01-20","53"
"https://github.com/lsbardel/ccy","2026-03-28","94"
"https://github.com/jealous/cn_stock_src","2016-11-09","34"
"https://github.com/barnumbirr/coinmarketcap","2023-06-13","434"
"https://github.com/datawrestler/after-hours","2021-01-07","38"
"https://github.com/rainx/pytdx","2020-04-15","1514"
"https://github.com/matthewgilbert/pdblp","2024-12-14","256"
"https://github.com/hydrosquall/tiingo-python","2025-12-14","304"
"https://github.com/addisonlynch/iexfinance","2022-04-06","649"
"https://github.com/timkpaine/pyEX","2024-02-05","410"
"https://github.com/alpacahq/alpaca-trade-api-python","2024-12-02","1866"
"https://github.com/jindaxiang/akshare","2026-04-12","18199"
"https://github.com/dpguthrie/yahooquery","2025-05-15","902"
"https://github.com/alvarobartt/investpy","2024-04-02","1817"
"https://github.com/yahoofinancelive/yliveticker","2026-03-28","165"
"https://github.com/ran404/bbgbridge","2020-01-07","2"
"https://github.com/polygon-io/client-python","2026-04-10","1400"
"https://github.com/RomelTorres/alpha_vantage","2026-03-03","4782"
"https://github.com/OilpriceAPI/python-sdk","2026-03-29","0"
"https://github.com/FinanceData/FinanceDataReader","2026-03-11","1454"
"https://github.com/TomasKoutek/pystlouisfed","2024-01-09","21"
"https://github.com/wilsonfreitas/python-bcb","2026-03-29","109"
"https://github.com/maread99/market_prices","2026-04-02","97"
"https://github.com/tardis-dev/tardis-python","2026-03-31","141"
"https://github.com/crypto-lake/lake-api","2025-11-02","64"
"https://github.com/ymyke/tessa","2026-04-09","53"
"https://github.com/dr-leo/pandaSDMX","2023-12-28","133"
"https://github.com/LenkaV/CIF","2022-06-18","64"
"https://github.com/theOGognf/finagg","2026-03-22","531"
"https://github.com/JerBouma/FinanceDatabase","2026-04-12","7432"
"https://github.com/tradingstrategy-ai/trading-strategy/","2026-04-12","357"
"https://github.com/john-friedman/datamule-python","2026-03-27","525"
"https://github.com/welcra/fsynth","2025-12-27","4"
"https://github.com/python-excel/xlrd","2025-06-14","2204"
"https://github.com/python-excel/xlwt","2020-02-21","1046"
"https://github.com/man-group/dtale","2026-04-12","5099"
"https://github.com/matplotlib/mplfinance","2024-08-08","4335"
"https://github.com/highfestiva/finplot","2026-03-30","1137"
"https://github.com/lit26/finvizfinance","2026-01-03","1355"
"https://github.com/maread99/market_analy","2026-04-02","75"
"https://github.com/ArturSepp/QuantInvestStrats","2026-04-02","542"
"https://github.com/joshuaulrich/xts","2026-02-28","223"
"https://github.com/Rdatatable/data.table","2026-04-09","3868"
"https://github.com/dppalomar/sparseEigen","2018-12-22","12"
"https://github.com/Rblp/Rblpapi","2026-01-10","175"
"https://github.com/jangorecki/Rbitcoin","2016-10-25","57"
"https://github.com/msperlin/GetTDData","2025-05-19","26"
"https://github.com/msperlin/GetHFData","2020-06-30","41"
"https://github.com/eddelbuettel/td","2026-02-12","18"
"https://github.com/wilsonfreitas/rbcb","2024-01-23","99"
"https://github.com/ropensci/rb3","2025-11-01","91"
"https://github.com/matthiasgomolka/simfinapi","2025-08-13","21"
"https://github.com/tidy-finance/r-tidyfinance","2026-04-12","21"
"https://github.com/eddelbuettel/rquantlib","2026-04-08","131"
"https://github.com/dgerlanc/portfolio","2024-08-19","17"
"https://github.com/dppalomar/sparseIndexTracking","2023-05-28","59"
"https://github.com/dppalomar/covFactorModel","2019-03-25","38"
"https://github.com/dppalomar/riskParityPortfolio","2022-11-15","121"
"https://github.com/blenezet/credule","2015-08-05","7"
"https://github.com/felixfan/FinCal","2025-10-30","24"
"https://github.com/artyyouth/r-quant","2014-02-19","34"
"https://github.com/taylorizing/options.studies","2015-12-17","6"
"https://github.com/braverock/PortfolioAnalytics","2026-04-12","98"
"https://github.com/imanuelcostigan/fmbasics","2022-02-01","12"
"https://github.com/wilsonfreitas/R-fixedincome","2025-05-10","64"
"https://github.com/joshuaulrich/TTR","2026-02-28","342"
"https://github.com/braverock/blotter","2024-12-14","117"
"https://github.com/braverock/quantstrat","2023-09-14","301"
"https://github.com/braverock/PerformanceAnalytics","2026-04-06","233"
"https://github.com/braverock/FactorAnalytics","2024-12-12","85"
"https://github.com/JustinMShea/ExpectedReturns","2025-08-12","57"
"https://github.com/alexiosg/rugarch","2026-03-13","32"
"https://github.com/alexiosg/rmgarch","2025-08-31","17"
"https://github.com/edgararuiz/tidypredict","2021-10-07","3"
"https://github.com/business-science/tidyquant","2026-04-01","903"
"https://github.com/business-science/timetk","2025-08-29","640"
"https://github.com/business-science/tibbletime","2024-12-03","177"
"https://github.com/matrix-profile-foundation/matrixprofile","2023-11-29","386"
"https://github.com/AlbertoAlmuinha/garchmodels","2022-08-11","35"
"https://github.com/wilsonfreitas/R-bizdays","2025-01-08","57"
"https://github.com/yutiansut/quantaxis","2026-02-28","10284"
"https://github.com/jkirkby3/PROJ_Option_Pricing_Matlab","2024-11-19","208"
"https://github.com/bhftbootcamp/CcyConv.jl","2025-11-24","25"
"https://github.com/bhftbootcamp/CryptoExchangeAPIs.jl","2026-04-11","30"
"https://github.com/rbeeli/Fastback.jl","2026-04-12","19"
"https://github.com/oliviermilla/Lucky.jl","2026-03-31","26"
"https://github.com/pazzo83/QuantLib.jl","2020-02-18","143"
"https://github.com/aviks/Ito.jl","2017-05-17","39"
"https://github.com/bhftbootcamp/LightweightCharts.jl","2026-03-30","49"
"https://github.com/femtotrader/TALib.jl","2017-08-22","52"
"https://github.com/JuliaComputing/Miletus.jl","2025-12-09","90"
"https://github.com/dysonance/Temporal.jl","2023-03-03","101"
"https://github.com/dysonance/Indicators.jl","2022-12-06","227"
"https://github.com/dysonance/Strategems.jl","2021-04-06","167"
"https://github.com/JuliaStats/TimeSeries.jl","2026-03-30","368"
"https://github.com/g-gundam/TechnicalIndicatorCharts.jl","2026-03-30","6"
"https://github.com/JuliaQuant/MarketTechnicals.jl","2021-11-05","130"
"https://github.com/JuliaQuant/MarketData.jl","2026-03-30","163"
"https://github.com/femtotrader/OnlineTechnicalIndicators.jl","2026-03-09","34"
"https://github.com/femtotrader/OnlinePortfolioAnalytics.jl","2026-03-09","13"
"https://github.com/femtotrader/OnlineResamplers.jl","2026-03-09","2"
"https://github.com/rbeeli/RiskPerf.jl","2026-04-12","15"
"https://github.com/femtotrader/TimeFrames.jl","2026-03-09","4"
"https://github.com/JuliaData/DataFrames.jl","2026-04-12","1821"
"https://github.com/xKDR/TSFrames.jl","2024-06-18","100"
"https://github.com/bhftbootcamp/TimeArrays.jl","2025-11-24","38"
"https://github.com/frgomes/jquantlib","2016-03-14","153"
"https://github.com/lsgro/quantcomponents","2018-07-28","168"
"https://github.com/ta4j/ta4j","2026-04-10","2407"
"https://github.com/ebradyjobory/finance.js","2023-03-02","1264"
"https://github.com/lequant40/portfolio_allocation_js","2023-03-03","187"
"https://github.com/ghostfolio/ghostfolio","2026-04-12","8121"
"https://github.com/cinar/indicatorts","2025-02-26","433"
"https://github.com/focus1691/orderflow","2025-03-31","67"
"https://github.com/ccxt/ccxt","2026-04-12","41801"
"https://github.com/CompendiumFi/PENDAX-SDK","2024-05-09","48"
